Date,Death,Injuries,Location,State,School_Name,School_Type,Latitude,Longitude
2/20/14,0,0,Raytown, MO,Raytown Success Academy,Preschool,39.0086171,-94.4635638
2/7/14,0,0,Bend, OR,Bend High School,High School,44.0581728,-121.3153096
1/15/14,0,0,Lancaster, PA,King Elementary School,Elementary School,40.03813,-76.3056686
11/21/13,0,0,Rapid City, SD,South Dakota School of Mines & Technology,College or University,44.081176,-103.228006
11/1/13,0,0,Algona, IA,Algona High/Middle School,Middle School,43.0699663,-94.233019
10/15/13,0,0,Austin, TX,Lanier High School,High School,30.2711286,-97.7436995
9/28/13,0,0,Gray, ME,Gray-New Gloucester High School,High School,43.886016,-70.331726
9/21/13,0,0,Savannah, GA,Savannah State University,College or University,32.0835407,-81.0998342
8/22/13,0,0,Memphis, TN,Westside Elementary School,Elementary School,35.1490215,-90.0516285
8/15/13,0,0,Clarksville, TN,Northwest High School,High School,36.5277607,-87.3588703
6/19/13,0,0,West Palm Beach, FL,Alexander W. Dreyfoos School of the Arts,High School,26.7153425,-80.0533746
5/3/13,0,0,Hattiesburg, MS,University of Southern Mississippi,College or University,31.3271189,-89.2903392
4/29/13,0,0,Cincinnati, OH,La Salle High School,High School,39.1014537,-84.5124602
4/15/13,0,0,Grambling, LA,Grambling State University,College or University,32.5276503,-92.7140403
4/13/13,0,0,Elizabeth City, NC,Elizabeth City State University,College or University,36.2956836,-76.2247697
3/21/13,0,0,Southgate, MI,Davidson Middle School,Middle School,42.20611635,-83.20460866
2/27/13,0,0,Atlanta, GA,Henry W. Grady High School,High School,33.7490987,-84.3901849
2/13/13,0,0,San Leandro, CA,Hillside Elementary School,Elementary School,37.7249296,-122.1560768
2/1/13,0,0,Altanta, GA,Morehouse College,College or University,33.749,-84.388
1/8/13,0,0,Fort Myers, FL,Apostolic Revival Center Christian School,Elementary School,26.640628,-81.8723084
