Date,Death,Injuries,Location,description
2/8/68,3,27,"Orangeburg, South Carolina","In the days leading up to February 8, 1968, about two hundred mostly student civil rights protesters gathered on the campus of South Carolina State University to protest the continued racial segregation of the All Star Bowling Lane after passage in 1964 of federal legislation prohibiting such action. That night, students started a bonfire. As police attempted to put out the fire, an officer was struck and injured by an object. Police later said they believed they were under attack by small weapons fire. The officers fired into the crowd, killing 18-year-old Samuel Hammond Jr., 17-year-old Delano Herman Middleton, and 19-year-old Henry Ezekial Smith, and wounding twenty-seven others.[135][141]"
3/25/68,1,0,"High Point, North Carolina","15-year-old David Lee Walker, was killed just outside Central High School, by 15-year-old Gerald Locklear.[142]"
5/22/68,0,2,"Miami, Florida","Ernest Lee Grissom, a 15-year-old student at Drew Junior High School, seriously wounded a teacher and a 13-year-old student after he had been reprimanded for behavior.[143]"
1/17/69,2,0,"Los Angeles, California","Alprentice Carter and John Huggins, two student members of the Black Panther Party, were fatally shot during a student meeting inside Campbell Hall at the University of California, Los Angeles. Reportedly there was disagreement over who would control the school's African American Studies Center. The shooter, Claude Hubert, was never found; three other men were later arrested in connection with the shooting.[144]"
1/23/69,1,0,"Washington, D.C.","45-year-old Cardozo Senior High School assistant principal, Herman Clifford, was killed in the school's hallway, by 18-year-old Ronald Joyner, while trying to stop him and two other youths who had robbed the school's bank.[145]"
5/13/69,1,0,"Winston-Salem, North Carolina","13-year-old Ernest Napoleon Carter Jr. was accidentally killed, by a 13-year-old classmate at Hanes Junior High School who was armed with a pistol. The shooter was charged with involuntary manslaughter. Carter's mother filed a lawsuit against the Winston-Salem/Forsyth County Board of Education for $50,000 in damages.[146]"
11/19/69,1,0,"Tomah, Wisconsin","46-year-old Martin Mogensen, principal of Tomah Junior High School, was killed in his office by a 14-year-old boy.[147]"
1/5/70,1,1,"Washington, D.C.","15-year-old Tyrone Perry, was killed at Hine Junior High School.[148]"
2/11/70,1,2,"Philadelphia, Pennsylvania","University of Pennsylvania professors, 40-year-old Walter Koppelman, and 45-year-old Oscar Goldman, were shot by 33-year-old disgruntled graduate student, Robert Cantor, during a seminar. Cantor then took his own life. Koppelman died March 5 from his injuries, but Goldman recovered.[149]"
5/4/70,4,9,"Kent, Ohio","Kent State shootings: During protests of the Vietnam War at Kent State University, armed National Guard Soldiers opened fire on unarmed students, killing four people.[135][150][151]"
5/15/70,2,12,"Jackson, Mississippi",Jackson State killings: Two students were killed and twelve others injured when police opened fire on students gathered to protest the US military presence in Cambodia.[152][153][154]
11/20/70,0,2,"Chicago, Illinois","Two students were shot while standing in a second floor hallway of Harlan High School. 15-year-old Kenneth House, was shot in the lower left abdomen, his condition was described as serious. 14-year-old Portia Walls, suffered a superficial wound on her lower back. The incident was thought to have involved gang recruiting in the school.[155]"
2/2/71,1,0,"Philadelphia, Pennsylvania","56-year-old teacher, Samson L. Freedman, was killed as he left Morris E. Leeds School, by 14-year-old student, Kevin Simmons. Freedman had suspended Simmons earlier in the day for cursing in the hallway.[156]"
11/11/71,2,4,"Spokane, Washington","21-year-old former MIT student, Larry J. Harmon, armed with a rifle, killed 68-year-old caretaker, Hilary Kunzon, who came upon him wrecking St. Aloysius Roman Catholic Church, then fled onto the campus of Gonzaga University, where he wounded four more people before police officers killed him. Harmon was described by his father as a religious fanatic claiming to have visions.[157]"
2/26/73,1,0,"Richmond, Virginia","17-year-old Wayne Phillips, was killed when he was caught between two youths who were fighting in the hallway of Armstrong High School.[158]"
11/6/73,1,1,"Oakland, California","School superintendent Marcus Foster, was killed and his assistant Robert Blackburn, was wounded when members of the Symbionese Liberation Army opened fire on them as they exited a school board meeting. Two members of the SLA were later arrested and convicted of the crime. Both were sentenced to life in prison without the possibility of parole. The SLA had reportedly believed that Foster supported a measure to install police on school grounds and make students carry identification cards. In reality, Foster opposed both measures.[159]"
1/17/74,1,0,"Chicago, Illinois","52-year-old elementary school principal, Rudolph Jezek Jr., was killed in his office by 14-year-old Steven Guy, a former student said to be angry about being transferred to a social adjustment center.[160]"
3/22/74,1,0,"Brownstown, Indiana","48-year-old Jessie Blevins, athletic director at Brownstown Central High School, was fatally shot in the school parking lot by a 17-year-old student waiting for him. He gave the police no motive.[161]"
10/4/74,0,1,"Kent, Ohio","19-year-old McKeesport student, Ray D. Gilmore, was wounded in a scuffle with two men in his third floor campus dormitory room. 26-year-old Benjamin F. Goodman and 22-year-old Carl Bell, who were not students, had their .32 caliber pistols taken and were wrestled to the floor by other students.[162]"
12/30/74,3,11,"Olean, New York","During a two-and-a-half-hour siege, 18-year-old honor student, Anthony Barbaro, the best on his rifle team, killed three adults in and around his high school and wounded eleven other persons.[154][163] He shot from the windows out at the street and neighborhood. The school was closed for the Christmas holiday.[164]"
2/24/75,1,1,"Penns Grove, New Jersey","24-year-old David Gary killed the 33-year-old Reverend Thomas Quinlan, inside a classroom at St. James School. Quinlan was the school's principal. A teacher was also wounded.[165]"
3/18/75,1,0,"St. Louis, Missouri","16-year-old Stephen Goods, a bystander, was killed during a fight between other teens. Three youths were convicted for the homicide.[163]"
9/11/75,1,5,"Oklahoma City, Oklahoma","Student James Briggs killed fellow student Randy Truitt at Grant High School, wounding several others.[166]"
2/12/76,0,5,"Detroit, Michigan","Intruders entered Murray-Wright High School, shooting and wounding five students after an apparent dispute over a girlfriend of one of the intruders.[167]"
7/12/76,7,2,"Fullerton, California","California State University, Fullerton massacre: The gunman, 37-year-old Edward Charles Allaway, was a custodian at the California State University, Fullerton library. Allaway killed seven people and wounded two others in the library's first-floor lobby and at the building's Instructional Media Center (IMC), located in the basement."
11/10/76,1,0,"Detroit, Michigan","46-year-old Al Lewis, killed his estranged wife, 46-year-old Betty McCaster, as she was teaching thirty-six 6-and-7-year-old students at Burt Elementary School.[168]"
4/7/77,1,0,"Whitharral, Texas","High School principal, M. O. Tripp, was killed on the front steps of the school by 17-year-old student, Ricardo Lopez, for unknown reasons.[169]"
11/19/77,0,2,"Washington, DC","""As about 50 horrified students scattered for safety, a young man wearing a hood and surgical mask yesterday shot and seriously injured the business manager of St. John's College High School in northwest Washington during a robbery attempt in the school cafeteria, District police said.""[170]"
1/11/78,0,1,"Hopkinsville, Kentucky","At 8:10Â a.m., 13-year-old student, Andre Davis, was wounded while watching a fight between two students in the front lobby of Christian County Middle School, one of whom had a gun. A 16-year-old was charged with the assault.[171]"
2/9/78,1,0,"St. Albans, West Virginia","14-year-old Hayes Junior High School student, Stuart Wayne Perrock, killed 14-year-old schoolmate, Arthur Clinton Smith.[172]"
2/22/78,1,1,"Lansing, Michigan","After being taunted for his beliefs, 15-year-old Roger Needham, self-proclaimed Nazi, killed one student and wounded a second with a pistol at Everett High School.[163][173]"
4/26/78,1,0,"Dallas, Texas","38-year-old Woodrow Porter, a janitor at Paul Dunbar Elementary School, was killed by the 56-year-old grandmother of an 8-year-old who was allegedly spanked by Porter earlier.[174]"
5/18/78,1,0,"Austin, Texas","13-year-old John Daniel Christian, son of Lyndon B. Johnson's former press secretary George Christian, killed his English teacher, 29-year-old Wilbur Grayson, with his father's rifle in front of approximately thirty classmates at Murchison Junior High School.[154][163] Christian was arrested and charged but not prosecuted; he was committed to a mental hospital where he was treated for a period and released.[175]"
10/17/78,0,4,"University City, Missouri","18-year-old Larry Ward and two companions were escorted from the halls of University City High School following a fight with 18-year-old student, Carl Triplett. Ward ran back into the building with a gun and fired shots into a group, critically injuring Triplett in the chest and hip, and wounding 17-year-old Angela Darden and 16-year-old Jennifer Pride. Ward sustained a head injury as he was tackled by assistant principal, Franklin McCallie. His companions grabbed the gun and fled.[176]"
10/17/78,1,0,"Lanett, Alabama","13-year-old Robin Robinson, was paddled by Lanett Junior High School principal, Lewis Hoggs, after having a disagreement with another student. Robinson left the school, and returned with a .22-caliber handgun and shot Hoggs, grazing the top of his head.[154][177][178] Robinson was arrested two hours later about two blocks from the school, and later charged in juvenile court.[175][179][180]"
1/29/79,2,9,"San Diego, California","Cleveland Elementary School shooting: 16-year-old Brenda Spencer opened fire on Grover Cleveland Elementary School from her home across the street, killing two adults and wounding nine people.[163][181][182][183][184][185]"
4/16/79,0,1,"Milwaukee, Wisconsin","17-year-old Timothy Stahle was critically wounded in the leg and upper thigh, with shot gun pellets, as he threw rocks at the windows of Wisconsin Lutheran High School. 28-year-old school janitor, Kenneth B. Stein, was arrested.[186]"
9/28/79,0,1,"Charlestown, Massachusetts","15-year-old sophomore, Darryl Williams, was shot in the neck by a sniper during the half-time interval, while standing with teammates and coach in the end zone of the Charlestown High School football field. The player for the predominantly black Jamaica Plain High School team was left paralysed. A racial motivation was determined by Mayor Kevin White.[187] 17-year-old white youths, Joseph Nardone and Stephen McGonagle, were charged with the shooting and received ten year sentences.[188]"
1/7/80,1,0,"Stamps, Arkansas","16-year-old Evan Hampton, high school freshman student at Stamps High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turned in the gun and waited for his arrest by police.[189]"
3/20/80,1,0,"Dallas, Texas","49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant.[190]"
3/26/80,1,0,"Big Rapids, Michigan","Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at Ferris State College; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college.[191]"
10/31/80,1,1,"Hueytown, Alabama","17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of Hueytown High School, he then turned his gun on himself.[192]"
1/27/81,1,1,"Fayetteville, Arkansas","19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the Delta Delta Delta sorority house on the University of Arkansas campus. He entered the house at 5:45Â p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room.[193]"
4/17/81,2,0,"Ann Arbor, Michigan","As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of Bursley Hall dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his University of Michigan schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades.[194][195] In 1982, he was convicted on two counts of first-degree murder and sentenced to life.[196]"
12/16/81,2,0,"Portland, Oregon","Shortly before noon in Engineering Hall on the school's campus in north Portland, 34-year-old University of Portland night janitor, John C. Holbrook, killed 37-year-old engineering teacher, Brian D. Massey, before taking his own life.[197]"
3/19/82,1,2,"Las Vegas, Nevada","17-year-old Valley High School student, Patrick Lizotte, killed his teacher Clarence Pigott and wounded two students.[163][198]"
4/7/82,1,0,"Littleton, Colorado","13-year-old Deer Creek Junior High School student, Scott Darwin Michael, was killed by 14-year-old classmate, Jason Price Rocha. Rocha was tried as an adult and sentenced to twelve years, plus one year of parole.[199]"
11/12/82,2,0,"Jackson, Mississippi","18-year-old school dropout, James Hartzog, killed his girlfriend, 17-year-old Faye Williams in her algebra class at Wingfield High School. Hartzog then took his own life.[200]"
1/20/83,2,1,"St. Louis County, Missouri","Eighth grade Parkway South Middle School student David F. Lawler entered a study hall classroom and opened fire, killing 15-year-old Randall Koger, and injuring 15-year-old Greg Saffo. Lawler then took his own life.[163][198]|-"
5/16/83,1,0,"Dallas, Texas","Billy Conn Gardner, a friend of a food service worker's husband, robbed the Lake Highlands High School cafeteria manager at gun point as she was counting day's revenue in the office. Gardner shot her and took $1,600. He was later arrested, convicted, and sentenced to death for the crime.[201]"
2/24/84,2,12,"Los Angeles, California",Tyrone Mitchell killed two people and wounded twelve others when shooting at students leaving 49th Street Elementary School.[163]
4/20/84,1,0,"Detroit, Michigan","13-year-old Kelly Crittendon, was accidentally killed by two classmates in a classroom at the Precious Blood School.[202]"
5/17/84,2,0,"Pleasant Hill, Iowa","17-year-old student, Todd Dunahoo, killed 16-year-old Valerie Rockafellow in the hallway at Southeast Polk High School, then turned the gun on himself.[203]"
9/28/84,1,0,"North Richland Hills, Texas","1981 alumnus Barry Wayne Shaw returned to his alma mater Richland High School carrying a 9mm Uzi submachine gun, an AR-15 strapped across his neck and a .45-caliber pistol in a shoulder harness looking for Ms. Ball, his English teacher. Ms. Ball's classroom had recently moved across the campus, something Barry didn't know at the time. He ran across the roof and jumped down into the courtyard before entering the building and starting his search. After some time, he finally gave up the hunt, yelled out ""Homecoming, homecoming,"" and sprayed the school's foyer with 30 rounds of ammunition. His bullets struck windows and the ceiling, but none of the dozen or so students who were also in the foyer at the time. However, a male student was injured by flying debris. Principal Ray Williams arrived after Barry had fired his last shot to confront him. Barry threw both rifles at Ray, saying ""I did it."" Ray had Barry sit down and wait for the police while he inspected his students for injuries. Barry offered no resistance. He was wearing a white t-shirt under a khaki-colored vest with flap pockets, blue jeans and cowboy boots when he was arrested. Over the weekend, it was discovered that Barry had killed Dallas karate instructor Jimmy Glen Wilson and wounded Rudy Smedley earlier in the week with the submachine gun. He was charged with two counts of intent to commit murder, one count of retaliation and one count of murder.[204]"
10/24/84,1,0,"Celina, Ohio","45-year-old Shirley Shindeldecker, killed school bus driver 54-year-old Gene Green, as he stopped to pick up the son of Shindeldecker's estranged husband. After serving nineteen months of her sentence, Shindeldecker was found innocent by reason of insanity, and released.[205]"
1/21/85,1,3,"Goddard, Kansas","Armed with a rifle and a handgun, 14-year-old James Alan Kearbey, killed principal, James McGee, and wounded two teachers and a student at Goddard Junior High School.[163][198][206]"
10/18/85,0,6,"Detroit, Michigan","Murray-Wright High School shooting: During half-time of the homecoming football game between Northwestern and Murray-Wright high schools, a youth opened fire with a shotgun, injuring six students with whom he had fought earlier in the day.[207]"
11/27/85,3,0,"Spanaway, Washington","14-year-old Heather Smith, killed 15-year-old Gordon Pickett, who was her ex-boyfriend, and 14-year-old Christopher Ricco, in the gymnasium at Spanaway Junior High School. She later took her own life.[208]"
12/3/85,1,0,"Concord, New Hampshire","At Concord High School, Louis Cartier, a 16-year-old dropout, entered the school with a shotgun and took students hostage, 18-year-old Patrick Lena Lena and 16-year-old Scott Hayes. Responding police officers fatally shot him after he aimed at football coach, Don LeBrun.[209][210]"
12/10/85,1,2,"Portland, Connecticut","After being suspended for refusing to take off his hat while at school, 13-year-old student Floyd Warmsley pulled out a firearm at Portland Junior High School, shooting and wounding the 53-year-old school secretary Lynn Haddad, and killing 36-year-old janitor David Bangston.[211][212]"
3/6/86,0,1,"Dolton, Illinois","At about 9:40Â a.m., as 52-year-old math teacher Norma Cooper`s third-period algebra class was beginning in a second-floor classroom in the C Building at Thornridge High School, she was shot in the shoulder by a freshman student, with a large-caliber handgun, registered to the youth`s father, a security guard. He is charged with attempted murder, unlawful use of a weapon and aggravated battery. The freshman, a resident of Harvey, was enrolled in the class and apparently had recently received poor grades.[213]"
4/29/86,1,0,"Senath, Missouri","A new student, 16-year-old Ritchie Overman, killed studious 15-year-old Leslie Lynn Wyatt, using a 20-gauge shotgun, in front of twenty-six ""totally horrified"" science class students and teacher Sheila Adams, at Senath-Hornersville High School.[214][215]"
5/9/86,0,3,"Fayetteville, North Carolina",A 17-year-old student shot three classmates at Pine Forest High School with a .25-caliber handgun wounding them. One student was critically injured and treated for a neck wound.[216]
5/16/86,2,74,"Cokeville, Wyoming","Cokeville Elementary School hostage crisis: 43-year-old former town marshal David Young, and his 47-year-old wife, Doris Young, took 136 children and eighteen adults hostage at Cokeville Elementary School.[163][217][218]"
12/4/86,1,3,"Lewistown, Montana","14-year-old Kristofer Hans intended to shoot his French teacher at Fergus High School, for a failing grade. Instead, Henrietta Smith, who was substituting for LaVonne Simonfy, was shot in the face and died.[219] Hans fired several other shots as he fled, wounding vice principal John Moffatt,[220] and two students.[177] He then ran about a mile to his home, where he was arrested after the police surrounded his house. A classmate said Hans had repeatedly threatened to kill Ms. Simonfy, saying, ""I'm going to blow Simonfy's head off.""[221] He was charged as an adult, convicted and sentenced to 206 years in prison.[163][222]"
2/4/87,2,0,"Northridge, California","35-year-old associate professor of Computer Science Djamshid (Amir) Asgari was confronted in the Engineering Building of California State University, Northridge by 25-year-old graduate student Fawwaz Abdin. Abdin was angry about a low grade Asgari had given him a year earlier, which caused him to be put on academic probation. After Asgari refused to change his grade, Abdin shot him twice, then himself. Asgari later died at the Northridge Hospital.[223]"
3/2/87,2,0,"De Kalb, Missouri","After constant teasing about his weight, 12-year-old honors student Nathan Ferris killed a 13-year-old classmate, Timothy Perrin, then turned the gun on himself.[163][198][224]"
4/16/87,1,2,"Detroit, Michigan","Murray-Wright High School second shooting: A ninth-grade student at Murray-Wright High School killed 17-year-old Chester Jackson, a student athlete, and wounded 17-year-old Damon Matthews, and 18-year-old Tomeka Turner.[225]"
9/28/87,0,1,"Lansing, Illinois","After being kicked off the soccer team for smoking on school grounds, 16-year-old student Blake Docter, of Illiana Christian High School wounded 44-year-old John Hoogewerf in the chest, the teacher who had reported him for smoking.[226]"
12/16/87,1,0,"Katy, Texas","After being refused a date from his classmate, 15 year-old Ramesh Guzman Tumalad shot and killed himself with a .357 Magnum revolver before 23 of his fellow freshman Algebra students at Mayde Creek High School. The evening prior to the shooting, the boy discussed committing suicide to the girl after she informed school administration of his obsession with her.[227]"
2/11/88,1,2,"Largo, Florida","Pinellas Park_High shooting: 15-year-old students, Jason Harless and Jason McCoy, took stolen .38-caliber revolvers to Pinellas Park High School. Harless shot two assistant principals and a student-teacher inside the school's cafeteria. 53-year-old Richard Allen died from his injuries, Nancy Blackwelder and intern Joseph Bloznalis were wounded.[163][198][228]"
5/20/88,1,5,"Winnetka, Illinois","30-year-old Laurie Dann, killed 8-year-old Nick Corwin, inside Hubbard Woods School. Five additional students were wounded. Dann later committed suicide after taking hostages in a nearby home.[163][198][229]"
7/10/88,0,1,"Milwaukee, Wisconsin","25-year-old Robin Jenkins, was shot in the elbow after a basketball game turned violent about 7:45Â p.m.at Siefert Elementary School. A 28-year-old man was taken into custody the following day.[230]"
9/26/88,2,9,"Greenwood, South Carolina","Oakland Elementary School shooting: 19-year-old James William Wilson entered Oakland Elementary School and started firing shots in the cafeteria. Two students were wounded and a first-grade teacher. After reloading his gun in a girls' restroom, he was confronted by physical education teacher, Kat Finkbeiner, who tried to stop him; she was wounded twice. He then entered a third-grade classroom and shot toward the students, killing 8-year-olds Shequila Tawoon Bradley and Tequila Maria Thomas, and wounding five others.[163][198][231]"
11/22/88,0,1,"Abilene, Texas","16-year-old student Mason Staggs shot Cooper High School teacher, Rick Maloney in the face with a pistol, severely injuring the teacher. Staggs left the school and went fishing.[232]"
12/16/88,1,1,"Virginia Beach, Virginia","At Atlantic Shores Christian School, 16-year-old student Nicholas Elliott shot two teachers with a Mac-10 9-millimeter machine pistol, killing 41-year-old Karen Farley, and critically wounding 37-year-old Sam Marino, then began firing on a classroom full of students before the gun jammed and any students were hit.[198][233][234]"
1/17/89,6,32,"Stockton, California","Stockton schoolyard shooting: 24-year-old Patrick Edward Purdy fatally shot five children and wounded 32 others at the Cleveland Elementary School, before taking his own life. The victims were children of refugees from Southeast Asia. Purdy had a history of violence, alcoholism and drug addiction, and criminality.[234][235]"
2/10/89,0,0,"Kearns, Utah","At Thomas Jefferson Junior High School, a 12-year-old boy fired a handgun at a vice principal, William Crumbaugh. No one was injured.[236]"
12/5/89,1,1,"McKeesport, Pennsylvania","While riding the school bus, 16-year-old Serra Catholic High School student, Robert Butler, shot 16-year-old schoolmate, Adam Ference, in the back of the head before fatally shooting himself.[237] Ference was in critical condition but survived.[238]"
3/27/90,0,1,"Brooklyn, New York","A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[239]"
9/11/90,0,3,"San Antonio, Texas","3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55Â a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[240]"
2/6/91,1,0,"Donna, Texas",15-year-old Raul Calvo fatally shot himself while playing Russian roulette inside a biology classroom at Donna High School.[241]
4/23/91,1,0,"Compton, California","A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[242]"
9/18/91,1,0,"Crosby, Texas","17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School.[243]"
11/1/91,6,1,"Iowa City, Iowa","University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[244][245][246][247]"
11/25/91,1,0,"Brooklyn, New York","Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[234]"
12/12/91,1,0,"Kent, Ohio","51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[248]"
1/29/92,0,1,"Kent, Ohio","26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[249]"
4/23/92,3,0,"Bloomington, Indiana","Indiana University graduate student, Susan Clements, was shot to death in her dorm by a former boyfriend before he committed suicide. A friend that attempted to intervene, Steven Molen, was also shot and critically injured; he died several days later. Indiana University.[250]"
2/26/92,2,0,"Brooklyn, New York","Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[251] In 1993, he was sentenced to between 6â…” and twenty years in prison. He was released on parole in 1998.[234]"
3/5/92,0,1,"Obetz, Ohio","Hamilton Middle School: Gordon W. Dye Jr. shot his bully Gregg Johnson in a with a .22-caliber pistol in the school cafeteria. Gregg was rushed to Children's Hospital in Columbus where doctors found the bullet and traced it's path. It had entered between Gregg's eyes and traveled the nasal sinuses where it shattered bones. Its trajectory was parallel to the bottom of the skull and was deflected by part of the skull base. This deflection sent the bullet on a downward path, to the adenoids.[252]"
5/1/92,4,10,"Olivehurst, California","Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[177][234]"
9/11/92,0,7,"Amarillo, Texas","Following a pep rally, in a hallway near the activity center of Palo Duro High School, for the evening football match-up against Hereford High, 17 year old Randy Earl Matthews shot and wounded 7 students with a .22 caliber pistol. Matthews had attended the school for 9 days when the incident occurred and was believed to have been bullied at his previous school in Memphis Texas. Matthews was charged with one count attempted murder, five counts aggravated assault, and one count of unlawfully carrying a weapon onto school grounds. He served eight years.[253]"
10/19/92,0,3,"The Bronx, New York",Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[254]
11/4/92,0,11,"Detroit, Michigan","11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[255]"
1/6/93,0,1,"Brentwood, New York","Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[256]"
1/18/93,2,0,"Grayson, Kentucky","East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[257]"
2/22/93,1,0,"Los Angeles, California","15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[258]"
4/15/93,1,0,"Acushnet, Massachusetts",44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[234]
5/14/93,1,0,"Irving, Texas","17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[259][260]"
5/24/93,1,0,"Pennsburg, Pennsylvania",15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[234][261]
9/17/93,1,4,"Sheridan, Wyoming","29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[262]"
11/4/93,1,0,"New Britain, Connecticut","18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School.[263] Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[264]"
12/1/93,1,0,"Wauwatosa, Wisconsin","Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.[265] McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[234] His sentence was upheld by the state Court of Appeals in April 1997.[266]"
1/24/94,1,0,"Columbia, South Carolina","18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[267]"
1/31/94,1,0,"Seattle, Washington","24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[268]"
2/18/94,0,1,"Spartanburg, South Carolina","At around 10Â p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[269]"
3/1/94,2,0,"Boonville, Missouri","33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[270]"
4/12/94,1,0,"Butte, Montana","10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[234][260]"
4/21/94,1,0,"Nashville, Tennessee","14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[271]"
10/12/94,1,1,"Greensboro, North Carolina","After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9Â mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[177][272][273]"
10/17/94,0,1,"Chicago, Illinois","A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[274]"
11/7/94,1,4,"Wickliffe, Ohio","Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[234][260][275]"
