Date,Death,Injuries,Location,description
2/5/18,0,1,"Oxon Hill, Maryland","A student was taken to hospital after exiting Oxon Hill High School and going to speak to individuals in a vehicle who then attempted to rob, and subsequently shot and wounded him in the school's parking lot. Two other students were arrested and charged with attempted murder and robbery.[561]"
2/14/18,17,17,"Parkland, Florida","Marjory Stoneman Douglas High School shooting: A 19-year-old former student whose behavior had led to his expulsion, began shooting students and staff members with a semi-automatic rifle at Marjory Stoneman Douglas High School after activating a fire alarm. 17 people were killed, and 17 others were injured. The suspect, Nikolas Cruz, blended in with the crowd of fleeing students and was arrested in a residential area of neighboring Coral Springs after walking away from the school.[562] He was later charged with murder and attempted murder.[563]"
3/2/18,2,0,"Mount Pleasant, Michigan",Central Michigan University shooting: 19-year-old student James Eric Davis Jr. shot and killed his mother and father when they came to campus to take him home for spring break. After the shooting Davis fled and the campus was placed on lockdown. Around 15 hours later police arrested him and took him to a local hospital. The incident disrupted the travel plans of students and campus activities for several days. Davis was charged with two counts of murder and one count of unlawful possession of a firearm used to commit murder.[564][565][566]
3/7/18,1,2,"Birmingham, Alabama","Huffman High School: One student was killed and another injured when shots were fired in the school building, prompting the school to go into lockdown shortly after the bell rang for school dismissal. Law enforcement originally labeled the shooting as ""accidental"".[567] Subsequently, a 17-year-old male student was charged with manslaughter and will be charged as ""being a certain person forbidden to possess a pistol"".[568] Although the school has metal detectors, they were not being used that day.[569] School resource officers were onsite at the time of the shooting.[568]"
3/9/18,0,1,"Lexington, Kentucky","Frederick Douglass High School: A 16-year-old male student unintentionally shot himself with a gun he had smuggled into a classroom, sustaining an injury to his left thumb. Police announced they were charging him with wanton endangerment and possession of a weapon on school property. After the shooting, the school superintendent announced that stationary metal detectors would be installed and all students would be required to enter through them.[570]"
3/14/18,2,1,"Birmingham, Alabama","University of Alabama at Birmingham: A disgruntled employee entered the UAB Highlands Hospital on the campus of the University of Alabama at Birmingham and shot two hospital employees, fatally wounding one, on the second floor. The perpetrator then shot and fatally wounded himself.[571]"
3/20/18,2,1,"Great Mills, Maryland","Great Mills High School: School placed on lockdown after a shooting occurred in the morning. A 17-year-old male student, armed with a handgun, shot and fatally injured a female student (with whom he had a prior relationship) and wounded a male student. The student shot himself in the head, fatally, while the school resource officer simultaneously shot at him.
[572]"
4/20/18,0,1,"Ocala, Florida",Forest High School: A student was shot and injured in a classroom shortly before a national school walkout for gun control measures. His injuries were not life-threatening. A 19-year-old former student was arrested.[citation needed]
5/11/18,0,1,"Palmdale, California","Highland High School: A 14-year-old former student allegedly fired a semi-automatic rifle shortly before classes were to begin. A 15-year-old was struck in the shoulder but went into surgery and was expected to recover fully. The suspect ditched the gun in a field and was arrested nearby, and faces a charge of attempted murder.[573]"
5/16/18,0,1,"Dixon, Illinois","Dixon High School: A 19-year-old student recently kicked off football team allegedly fired shots prior to graduation rehearsal. A school resource officer shot the suspect, who suffered non-life threatening injuries.[574][575]"
5/18/18,10,14,"Santa Fe, Texas",Santa Fe High School shooting: School was evacuated when fire alarms pulled at 7:45 am after students said they had heard gunshots. Shooter had a shotgun and .38 revolver. Multiple IEDs and pipe bombs were also found around the school.[576]
5/18/18,1,3,"Jonesboro, Georgia",Mount Zion High School: An argument led to a shooting in a parking lot after a high school graduation ceremony for graduates of Perry Learning Center. Mount Zion High School provided overflow parking for people attending the ceremony.[577]
5/25/18,0,2,"Noblesville, Indiana","Noblesville West Middle School: Two people were shot and injured in a shooting at Noblesville West Middle School in Noblesville, Indiana. The shooter is an unnamed middle school student who exited his science classroom and entered with a gun. The gun was wrestled away by the science teacher of that classroom after both the teacher and another student were shot.[578]"
